"year","state","month","number","date"
2005,"Acre","Junio",27,2005-01-01
2006,"Acre","Junio",1,2006-01-01
2007,"Acre","Junio",4,2007-01-01
2008,"Acre","Junio",0,2008-01-01
2009,"Acre","Junio",0,2009-01-01
2010,"Acre","Junio",1,2010-01-01
2011,"Acre","Junio",10,2011-01-01
2012,"Acre","Junio",7,2012-01-01
2013,"Acre","Junio",8,2013-01-01
2014,"Acre","Junio",17,2014-01-01
2015,"Acre","Junio",40,2015-01-01
2016,"Acre","Junio",87,2016-01-01
2017,"Acre","Junio",45,2017-01-01
1998,"Acre","Julio",37,1998-01-01
1999,"Acre","Julio",1,1999-01-01
2000,"Acre","Julio",1,2000-01-01
2001,"Acre","Julio",3,2001-01-01
2002,"Acre","Julio",39,2002-01-01
2003,"Acre","Julio",168,2003-01-01
2004,"Acre","Julio",42,2004-01-01
2005,"Acre","Julio",368,2005-01-01
2006,"Acre","Julio",33,2006-01-01
2007,"Acre","Julio",29,2007-01-01
2008,"Acre","Julio",41,2008-01-01
2009,"Acre","Julio",31,2009-01-01
2010,"Acre","Julio",126,2010-01-01
2011,"Acre","Julio",93,2011-01-01
2012,"Acre","Julio",71,2012-01-01
2013,"Acre","Julio",54,2013-01-01
2014,"Acre","Julio",60,2014-01-01
2015,"Acre","Julio",109,2015-01-01
2016,"Acre","Julio",533,2016-01-01
2017,"Acre","Julio",457,2017-01-01
1998,"Acre","Agosto",130,1998-01-01
1999,"Acre","Agosto",63,1999-01-01
2000,"Acre","Agosto",136,2000-01-01
2001,"Acre","Agosto",396,2001-01-01
2002,"Acre","Agosto",728,2002-01-01
2003,"Acre","Agosto",1.976,2003-01-01
2004,"Acre","Agosto",645,2004-01-01
2005,"Acre","Agosto",4.198,2005-01-01
2006,"Acre","Agosto",839,2006-01-01
2007,"Acre","Agosto",960,2007-01-01
2008,"Acre","Agosto",445,2008-01-01
2009,"Acre","Agosto",194,2009-01-01
2010,"Acre","Agosto",1.682,2010-01-01
2011,"Acre","Agosto",425,2011-01-01
2012,"Acre","Agosto",739,2012-01-01
2013,"Acre","Agosto",679,2013-01-01
2014,"Acre","Agosto",1.1,2014-01-01
2015,"Acre","Agosto",1.397,2015-01-01
2016,"Acre","Agosto",2.188,2016-01-01
2017,"Acre","Agosto",1.493,2017-01-01
1998,"Acre","Septiembre",509,1998-01-01
1999,"Acre","Septiembre",209,1999-01-01
2000,"Acre","Septiembre",265,2000-01-01
2001,"Acre","Septiembre",290,2001-01-01
2002,"Acre","Septiembre",1.949,2002-01-01
2003,"Acre","Septiembre",3.942,2003-01-01
2004,"Acre","Septiembre",1.978,2004-01-01
2005,"Acre","Septiembre",4.253,2005-01-01
2006,"Acre","Septiembre",2.37,2006-01-01
2007,"Acre","Septiembre",2.08,2007-01-01
2008,"Acre","Septiembre",1.666,2008-01-01
2009,"Acre","Septiembre",1.265,2009-01-01
2010,"Acre","Septiembre",2.531,2010-01-01
2011,"Acre","Septiembre",1.204,2011-01-01
2012,"Acre","Septiembre",1.996,2012-01-01
2013,"Acre","Septiembre",2.136,2013-01-01
2014,"Acre","Septiembre",2.175,2014-01-01
2015,"Acre","Septiembre",2.928,2015-01-01
2016,"Acre","Septiembre",3.586,2016-01-01
2017,"Acre","Septiembre",3.429,2017-01-01
1998,"Acre","Octubre",44,1998-01-01
1999,"Acre","Octubre",60,1999-01-01
2000,"Acre","Octubre",18,2000-01-01
2001,"Acre","Octubre",137,2001-01-01
2002,"Acre","Octubre",687,2002-01-01
2003,"Acre","Octubre",740,2003-01-01
2004,"Acre","Octubre",461,2004-01-01
2005,"Acre","Octubre",547,2005-01-01
2006,"Acre","Octubre",316,2006-01-01
2007,"Acre","Octubre",203,2007-01-01
2008,"Acre","Octubre",652,2008-01-01
2009,"Acre","Octubre",565,2009-01-01
2010,"Acre","Octubre",292,2010-01-01
2011,"Acre","Octubre",97,2011-01-01
2012,"Acre","Octubre",348,2012-01-01
2013,"Acre","Octubre",258,2013-01-01
2014,"Acre","Octubre",406,2014-01-01
2015,"Acre","Octubre",905,2015-01-01
2016,"Acre","Octubre",509,2016-01-01
2017,"Acre","Octubre",1.508,2017-01-01
1998,"Acre","Noviembre",0,1998-01-01
1999,"Acre","Noviembre",0,1999-01-01
2000,"Acre","Noviembre",0,2000-01-01
2001,"Acre","Noviembre",1,2001-01-01
2002,"Acre","Noviembre",86,2002-01-01
2003,"Acre","Noviembre",15,2003-01-01
2004,"Acre","Noviembre",10,2004-01-01
2005,"Acre","Noviembre",14,2005-01-01
2006,"Acre","Noviembre",18,2006-01-01
2007,"Acre","Noviembre",7,2007-01-01
2008,"Acre","Noviembre",4,2008-01-01
2009,"Acre","Noviembre",33,2009-01-01
2010,"Acre","Noviembre",39,2010-01-01
2011,"Acre","Noviembre",74,2011-01-01
2012,"Acre","Noviembre",13,2012-01-01
2013,"Acre","Noviembre",79,2013-01-01
2014,"Acre","Noviembre",56,2014-01-01
2015,"Acre","Noviembre",115,2015-01-01
2016,"Acre","Noviembre",46,2016-01-01
2017,"Acre","Noviembre",98,2017-01-01
1998,"Acre","Diciembre",7,1998-01-01
1999,"Acre","Diciembre",0,1999-01-01
2000,"Acre","Diciembre",0,2000-01-01
2001,"Acre","Diciembre",0,2001-01-01
2002,"Acre","Diciembre",1,2002-01-01
2003,"Acre","Diciembre",1,2003-01-01
2004,"Acre","Diciembre",7,2004-01-01
2005,"Acre","Diciembre",2,2005-01-01
2006,"Acre","Diciembre",0,2006-01-01
2007,"Acre","Diciembre",0,2007-01-01
2008,"Acre","Diciembre",0,2008-01-01
2009,"Acre","Diciembre",1,2009-01-01
2010,"Acre","Diciembre",0,2010-01-01
2011,"Acre","Diciembre",4,2011-01-01
2012,"Acre","Diciembre",1,2012-01-01
2013,"Acre","Diciembre",3,2013-01-01
2014,"Acre","Diciembre",6,2014-01-01
2015,"Acre","Diciembre",8,2015-01-01
2016,"Acre","Diciembre",6,2016-01-01
1998,"Alagoas","Enero",0,1998-01-01
1999,"Alagoas","Enero",58,1999-01-01
2000,"Alagoas","Enero",11,2000-01-01
2001,"Alagoas","Enero",5,2001-01-01
2002,"Alagoas","Enero",12,2002-01-01
2003,"Alagoas","Enero",150,2003-01-01
2004,"Alagoas","Enero",9,2004-01-01
2005,"Alagoas","Enero",83,2005-01-01
2006,"Alagoas","Enero",29,2006-01-01
2007,"Alagoas","Enero",33,2007-01-01
2008,"Alagoas","Enero",55,2008-01-01
2009,"Alagoas","Enero",104,2009-01-01
2010,"Alagoas","Enero",23,2010-01-01
2011,"Alagoas","Enero",41,2011-01-01
2012,"Alagoas","Enero",36,2012-01-01
2013,"Alagoas","Enero",49,2013-01-01
2014,"Alagoas","Enero",54,2014-01-01
2015,"Alagoas","Enero",81,2015-01-01
2016,"Alagoas","Enero",24,2016-01-01
2017,"Alagoas","Enero",38,2017-01-01
2017,"Alagoas","Enero",38,2017-01-01
1998,"Alagoas","Febrero",0,1998-01-01
1999,"Alagoas","Febrero",20,1999-01-01
2000,"Alagoas","Febrero",16,2000-01-01
2001,"Alagoas","Febrero",4,2001-01-01
2002,"Alagoas","Febrero",15,2002-01-01
2003,"Alagoas","Febrero",33,2003-01-01
2004,"Alagoas","Febrero",7,2004-01-01
2005,"Alagoas","Febrero",31,2005-01-01
2006,"Alagoas","Febrero",14,2006-01-01
2007,"Alagoas","Febrero",28,2007-01-01
2008,"Alagoas","Febrero",74,2008-01-01
2009,"Alagoas","Febrero",32,2009-01-01
2010,"Alagoas","Febrero",26,2010-01-01
2011,"Alagoas","Febrero",33,2011-01-01
2012,"Alagoas","Febrero",41,2012-01-01
2013,"Alagoas","Febrero",19,2013-01-01
2014,"Alagoas","Febrero",29,2014-01-01
2015,"Alagoas","Febrero",46,2015-01-01
2016,"Alagoas","Febrero",14,2016-01-01
2017,"Alagoas","Febrero",21,2017-01-01
1998,"Alagoas","Marzo",0,1998-01-01
1999,"Alagoas","Marzo",52,1999-01-01
2000,"Alagoas","Marzo",32,2000-01-01
2001,"Alagoas","Marzo",0,2001-01-01
2002,"Alagoas","Marzo",27,2002-01-01
2003,"Alagoas","Marzo",15,2003-01-01
2004,"Alagoas","Marzo",16,2004-01-01
2005,"Alagoas","Marzo",35,2005-01-01
2006,"Alagoas","Marzo",37,2006-01-01
2007,"Alagoas","Marzo",7,2007-01-01
2008,"Alagoas","Marzo",31,2008-01-01
2009,"Alagoas","Marzo",31,2009-01-01
2010,"Alagoas","Marzo",70,2010-01-01
2011,"Alagoas","Marzo",34,2011-01-01
2012,"Alagoas","Marzo",44,2012-01-01
2013,"Alagoas","Marzo",31,2013-01-01
2014,"Alagoas","Marzo",28,2014-01-01
2015,"Alagoas","Marzo",32,2015-01-01
2016,"Alagoas","Marzo",9,2016-01-01
2017,"Alagoas","Marzo",23,2017-01-01
1998,"Alagoas","Abril",0,1998-01-01
1999,"Alagoas","Abril",4,1999-01-01
2000,"Alagoas","Abril",20,2000-01-01
2001,"Alagoas","Abril",0,2001-01-01
2002,"Alagoas","Abril",6,2002-01-01
2003,"Alagoas","Abril",20,2003-01-01
2004,"Alagoas","Abril",6,2004-01-01
2005,"Alagoas","Abril",1,2005-01-01
2006,"Alagoas","Abril",2,2006-01-01
2007,"Alagoas","Abril",1,2007-01-01
2008,"Alagoas","Abril",18,2008-01-01
2009,"Alagoas","Abril",5,2009-01-01
2010,"Alagoas","Abril",3,2010-01-01
2011,"Alagoas","Abril",17,2011-01-01
2012,"Alagoas","Abril",18,2012-01-01
2013,"Alagoas","Abril",25,2013-01-01
2014,"Alagoas","Abril",16,2014-01-01
2015,"Alagoas","Abril",63,2015-01-01
2016,"Alagoas","Abril",13,2016-01-01
2017,"Alagoas","Abril",7,2017-01-01
1998,"Alagoas","Mayo",0,1998-01-01
1999,"Alagoas","Mayo",1,1999-01-01
2000,"Alagoas","Mayo",1,2000-01-01
2001,"Alagoas","Mayo",2,2001-01-01
2002,"Alagoas","Mayo",1,2002-01-01
2003,"Alagoas","Mayo",1,2003-01-01
2004,"Alagoas","Mayo",3,2004-01-01
2005,"Alagoas","Mayo",0,2005-01-01
2006,"Alagoas","Mayo",0,2006-01-01
2007,"Alagoas","Mayo",0,2007-01-01
2008,"Alagoas","Mayo",0,2008-01-01
2009,"Alagoas","Mayo",0,2009-01-01
2010,"Alagoas","Mayo",0,2010-01-01
2011,"Alagoas","Mayo",0,2011-01-01
2012,"Alagoas","Mayo",21,2012-01-01
2013,"Alagoas","Mayo",2,2013-01-01
2014,"Alagoas","Mayo",1,2014-01-01
2015,"Alagoas","Mayo",18,2015-01-01
2016,"Alagoas","Mayo",4,2016-01-01
2017,"Alagoas","Mayo",1,2017-01-01
1998,"Alagoas","Junio",0,1998-01-01
1999,"Alagoas","Junio",0,1999-01-01
2000,"Alagoas","Junio",0,2000-01-01
2001,"Alagoas","Junio",2,2001-01-01
2002,"Alagoas","Junio",0,2002-01-01
2003,"Alagoas","Junio",0,2003-01-01
2004,"Alagoas","Junio",0,2004-01-01
2005,"Alagoas","Junio",0,2005-01-01
2006,"Alagoas","Junio",0,2006-01-01
2007,"Alagoas","Junio",0,2007-01-01
2008,"Alagoas","Junio",0,2008-01-01
2009,"Alagoas","Junio",0,2009-01-01
2010,"Alagoas","Junio",0,2010-01-01
2011,"Alagoas","Junio",2,2011-01-01
2012,"Alagoas","Junio",4,2012-01-01
2013,"Alagoas","Junio",1,2013-01-01
2014,"Alagoas","Junio",2,2014-01-01
2015,"Alagoas","Junio",2,2015-01-01
2016,"Alagoas","Junio",5,2016-01-01
2017,"Alagoas","Junio",2,2017-01-01
1998,"Alagoas","Julio",0,1998-01-01
1999,"Alagoas","Julio",0,1999-01-01
2000,"Alagoas","Julio",0,2000-01-01
2001,"Alagoas","Julio",0,2001-01-01
2002,"Alagoas","Julio",5,2002-01-01
2003,"Alagoas","Julio",0,2003-01-01
2004,"Alagoas","Julio",0,2004-01-01
2005,"Alagoas","Julio",0,2005-01-01
2006,"Alagoas","Julio",0,2006-01-01
2007,"Alagoas","Julio",0,2007-01-01
2008,"Alagoas","Julio",0,2008-01-01
2009,"Alagoas","Julio",0,2009-01-01
2010,"Alagoas","Julio",2,2010-01-01
2011,"Alagoas","Julio",0,2011-01-01
2012,"Alagoas","Julio",0,2012-01-01
2013,"Alagoas","Julio",0,2013-01-01
2014,"Alagoas","Julio",1,2014-01-01
2015,"Alagoas","Julio",0,2015-01-01
2016,"Alagoas","Julio",3,2016-01-01
2017,"Alagoas","Julio",0,2017-01-01
1998,"Alagoas","Agosto",1,1998-01-01
1999,"Alagoas","Agosto",3,1999-01-01
2000,"Alagoas","Agosto",4,2000-01-01
2001,"Alagoas","Agosto",1,2001-01-01
2002,"Alagoas","Agosto",3,2002-01-01
2003,"Alagoas","Agosto",2,2003-01-01
2004,"Alagoas","Agosto",2,2004-01-01
2005,"Alagoas","Agosto",2,2005-01-01
2006,"Alagoas","Agosto",1,2006-01-01
2007,"Alagoas","Agosto",3,2007-01-01
2008,"Alagoas","Agosto",1,2008-01-01
2009,"Alagoas","Agosto",0,2009-01-01
2010,"Alagoas","Agosto",1,2010-01-01
2011,"Alagoas","Agosto",4,2011-01-01
2012,"Alagoas","Agosto",0,2012-01-01
2013,"Alagoas","Agosto",0,2013-01-01
2014,"Alagoas","Agosto",3,2014-01-01
2015,"Alagoas","Agosto",3,2015-01-01
2016,"Alagoas","Agosto",5,2016-01-01
2017,"Alagoas","Agosto",1,2017-01-01
1998,"Alagoas","Septiembre",14,1998-01-01
1999,"Alagoas","Septiembre",3,1999-01-01
2000,"Alagoas","Septiembre",22,2000-01-01
2001,"Alagoas","Septiembre",5,2001-01-01
2002,"Alagoas","Septiembre",14,2002-01-01
2003,"Alagoas","Septiembre",8,2003-01-01
2004,"Alagoas","Septiembre",5,2004-01-01
2005,"Alagoas","Septiembre",7,2005-01-01
2006,"Alagoas","Septiembre",4,2006-01-01
2007,"Alagoas","Septiembre",2,2007-01-01
2008,"Alagoas","Septiembre",9,2008-01-01
2009,"Alagoas","Septiembre",13,2009-01-01
2010,"Alagoas","Septiembre",5,2010-01-01
2011,"Alagoas","Septiembre",5,2011-01-01
2012,"Alagoas","Septiembre",6,2012-01-01
2013,"Alagoas","Septiembre",4,2013-01-01
2014,"Alagoas","Septiembre",11,2014-01-01
2015,"Alagoas","Septiembre",7,2015-01-01
2016,"Alagoas","Septiembre",18,2016-01-01
2017,"Alagoas","Septiembre",4,2017-01-01
1998,"Alagoas","Octubre",20,1998-01-01
1999,"Alagoas","Octubre",4,1999-01-01
2000,"Alagoas","Octubre",13,2000-01-01
2001,"Alagoas","Octubre",15,2001-01-01
2002,"Alagoas","Octubre",30,2002-01-01
2003,"Alagoas","Octubre",10,2003-01-01
2004,"Alagoas","Octubre",12,2004-01-01
2005,"Alagoas","Octubre",17,2005-01-01
2006,"Alagoas","Octubre",32,2006-01-01
2007,"Alagoas","Octubre",6,2007-01-01
2008,"Alagoas","Octubre",18,2008-01-01
2009,"Alagoas","Octubre",30,2009-01-01
2010,"Alagoas","Octubre",16,2010-01-01
2011,"Alagoas","Octubre",23,2011-01-01
2012,"Alagoas","Octubre",28,2012-01-01
2013,"Alagoas","Octubre",25,2013-01-01
2014,"Alagoas","Octubre",7,2014-01-01
2015,"Alagoas","Octubre",40,2015-01-01
2016,"Alagoas","Octubre",74,2016-01-01
2017,"Alagoas","Octubre",14,2017-01-01
1998,"Alagoas","Noviembre",19,1998-01-01
1999,"Alagoas","Noviembre",15,1999-01-01
2000,"Alagoas","Noviembre",2,2000-01-01
2001,"Alagoas","Noviembre",22,2001-01-01
2002,"Alagoas","Noviembre",50,2002-01-01
2003,"Alagoas","Noviembre",17,2003-01-01
2004,"Alagoas","Noviembre",28,2004-01-01
2005,"Alagoas","Noviembre",25,2005-01-01
2006,"Alagoas","Noviembre",12,2006-01-01
2007,"Alagoas","Noviembre",15,2007-01-01
2008,"Alagoas","Noviembre",37,2008-01-01
2009,"Alagoas","Noviembre",55,2009-01-01
2010,"Alagoas","Noviembre",31,2010-01-01
2011,"Alagoas","Noviembre",23,2011-01-01
2012,"Alagoas","Noviembre",95,2012-01-01
2013,"Alagoas","Noviembre",10,2013-01-01
2014,"Alagoas","Noviembre",14,2014-01-01
2015,"Alagoas","Noviembre",162,2015-01-01
2016,"Alagoas","Noviembre",76,2016-01-01
2017,"Alagoas","Noviembre",10,2017-01-01
1998,"Alagoas","Diciembre",32,1998-01-01
1999,"Alagoas","Diciembre",12,1999-01-01
2000,"Alagoas","Diciembre",2,2000-01-01
2001,"Alagoas","Diciembre",30,2001-01-01
2002,"Alagoas","Diciembre",95,2002-01-01
2003,"Alagoas","Diciembre",43,2003-01-01
2004,"Alagoas","Diciembre",71,2004-01-01
2005,"Alagoas","Diciembre",16,2005-01-01
2006,"Alagoas","Diciembre",30,2006-01-01
2007,"Alagoas","Diciembre",33,2007-01-01
2008,"Alagoas","Diciembre",34,2008-01-01
2009,"Alagoas","Diciembre",55,2009-01-01
2010,"Alagoas","Diciembre",45,2010-01-01
2011,"Alagoas","Diciembre",50,2011-01-01
2012,"Alagoas","Diciembre",59,2012-01-01
2013,"Alagoas","Diciembre",42,2013-01-01
2014,"Alagoas","Diciembre",24,2014-01-01
2015,"Alagoas","Diciembre",136,2015-01-01
2016,"Alagoas","Diciembre",155,2016-01-01
1998,"Amapa","Enero",0,1998-01-01
1999,"Amapa","Enero",0,1999-01-01
2000,"Amapa","Enero",2,2000-01-01
2001,"Amapa","Enero",0,2001-01-01
2002,"Amapa","Enero",7,2002-01-01
2003,"Amapa","Enero",31,2003-01-01
2004,"Amapa","Enero",38,2004-01-01
2005,"Amapa","Enero",109,2005-01-01
2006,"Amapa","Enero",6,2006-01-01
2007,"Amapa","Enero",0,2007-01-01
2008,"Amapa","Enero",2,2008-01-01
2009,"Amapa","Enero",4,2009-01-01
2010,"Amapa","Enero",2,2010-01-01
2011,"Amapa","Enero",0,2011-01-01
2012,"Amapa","Enero",30,2012-01-01
2013,"Amapa","Enero",3,2013-01-01
2014,"Amapa","Enero",10,2014-01-01
2015,"Amapa","Enero",14,2015-01-01
2016,"Amapa","Enero",19,2016-01-01
2017,"Amapa","Enero",2,2017-01-01
1998,"Amapa","Febrero",0,1998-01-01
1999,"Amapa","Febrero",1,1999-01-01
2000,"Amapa","Febrero",0,2000-01-01
2001,"Amapa","Febrero",0,2001-01-01
2002,"Amapa","Febrero",2,2002-01-01
2003,"Amapa","Febrero",0,2003-01-01
2004,"Amapa","Febrero",2,2004-01-01
2005,"Amapa","Febrero",1,2005-01-01
2006,"Amapa","Febrero",2,2006-01-01
2007,"Amapa","Febrero",0,2007-01-01
2008,"Amapa","Febrero",0,2008-01-01
2009,"Amapa","Febrero",0,2009-01-01
2010,"Amapa","Febrero",0,2010-01-01
2011,"Amapa","Febrero",3,2011-01-01
2012,"Amapa","Febrero",5,2012-01-01
2013,"Amapa","Febrero",0,2013-01-01
2014,"Amapa","Febrero",2,2014-01-01
2015,"Amapa","Febrero",1,2015-01-01
2016,"Amapa","Febrero",1,2016-01-01
2017,"Amapa","Febrero",0,2017-01-01
1998,"Amapa","Marzo",0,1998-01-01
1999,"Amapa","Marzo",2,1999-01-01
2000,"Amapa","Marzo",0,2000-01-01
2001,"Amapa","Marzo",0,2001-01-01
2002,"Amapa","Marzo",0,2002-01-01
2003,"Amapa","Marzo",1,2003-01-01
2004,"Amapa","Marzo",0,2004-01-01
2005,"Amapa","Marzo",0,2005-01-01
2006,"Amapa","Marzo",0,2006-01-01
2007,"Amapa","Marzo",0,2007-01-01
2008,"Amapa","Marzo",1,2008-01-01
2009,"Amapa","Marzo",1,2009-01-01
2010,"Amapa","Marzo",2,2010-01-01
2011,"Amapa","Marzo",0,2011-01-01
2012,"Amapa","Marzo",1,2012-01-01
2013,"Amapa","Marzo",0,2013-01-01
2014,"Amapa","Marzo",1,2014-01-01
2015,"Amapa","Marzo",2,2015-01-01
2016,"Amapa","Marzo",5,2016-01-01
2017,"Amapa","Marzo",0,2017-01-01
1998,"Amapa","Abril",0,1998-01-01
1999,"Amapa","Abril",0,1999-01-01
2000,"Amapa","Abril",0,2000-01-01
2001,"Amapa","Abril",0,2001-01-01
2002,"Amapa","Abril",0,2002-01-01
2003,"Amapa","Abril",2,2003-01-01
2004,"Amapa","Abril",0,2004-01-01
2005,"Amapa","Abril",0,2005-01-01
2006,"Amapa","Abril",0,2006-01-01
2007,"Amapa","Abril",0,2007-01-01
2008,"Amapa","Abril",2,2008-01-01
2009,"Amapa","Abril",0,2009-01-01
2010,"Amapa","Abril",2,2010-01-01
2011,"Amapa","Abril",0,2011-01-01
2012,"Amapa","Abril",2,2012-01-01
2013,"Amapa","Abril",2,2013-01-01
2014,"Amapa","Abril",0,2014-01-01
2015,"Amapa","Abril",0,2015-01-01
2016,"Amapa","Abril",0,2016-01-01
2017,"Amapa","Abril",3,2017-01-01
1998,"Amapa","Mayo",0,1998-01-01
1999,"Amapa","Mayo",0,1999-01-01
2000,"Amapa","Mayo",0,2000-01-01
2001,"Amapa","Mayo",0,2001-01-01
2002,"Amapa","Mayo",3,2002-01-01
2003,"Amapa","Mayo",0,2003-01-01
2004,"Amapa","Mayo",0,2004-01-01
2005,"Amapa","Mayo",0,2005-01-01
2006,"Amapa","Mayo",0,2006-01-01
2007,"Amapa","Mayo",0,2007-01-01
2008,"Amapa","Mayo",0,2008-01-01
2009,"Amapa","Mayo",2,2009-01-01
2010,"Amapa","Mayo",2,2010-01-01
2011,"Amapa","Mayo",2,2011-01-01
2012,"Amapa","Mayo",2,2012-01-01
2013,"Amapa","Mayo",0,2013-01-01
2014,"Amapa","Mayo",0,2014-01-01
2015,"Amapa","Mayo",0,2015-01-01
2016,"Amapa","Mayo",1,2016-01-01
2017,"Amapa","Mayo",1,2017-01-01
1998,"Amapa","Junio",0,1998-01-01
1999,"Amapa","Junio",2,1999-01-01
2000,"Amapa","Junio",0,2000-01-01
2001,"Amapa","Junio",0,2001-01-01
2002,"Amapa","Junio",0,2002-01-01
2003,"Amapa","Junio",0,2003-01-01
2004,"Amapa","Junio",5,2004-01-01
2005,"Amapa","Junio",2,2005-01-01
2006,"Amapa","Junio",0,2006-01-01
2007,"Amapa","Junio",0,2007-01-01
2008,"Amapa","Junio",0,2008-01-01
2009,"Amapa","Junio",1,2009-01-01
2010,"Amapa","Junio",0,2010-01-01
2011,"Amapa","Junio",0,2011-01-01
2012,"Amapa","Junio",7,2012-01-01
2013,"Amapa","Junio",1,2013-01-01
2014,"Amapa","Junio",0,2014-01-01
2015,"Amapa","Junio",3,2015-01-01
2016,"Amapa","Junio",2,2016-01-01
2017,"Amapa","Junio",2,2017-01-01
1998,"Amapa","Julio",0,1998-01-01
1999,"Amapa","Julio",0,1999-01-01
2000,"Amapa","Julio",0,2000-01-01
2001,"Amapa","Julio",1,2001-01-01
2002,"Amapa","Julio",1,2002-01-01
2003,"Amapa","Julio",0,2003-01-01
2004,"Amapa","Julio",2,2004-01-01
2005,"Amapa","Julio",0,2005-01-01
2006,"Amapa","Julio",0,2006-01-01
2007,"Amapa","Julio",0,2007-01-01
2008,"Amapa","Julio",0,2008-01-01
